============================
K: 200
----------------------------
Cluster: 113, latitude:  50.881489, longitude: 4.302320
Cluster: 114, latitude:  50.595955, longitude: 5.834779
Cluster: 115, latitude:  50.512245, longitude: 3.657003
Cluster: 116, latitude:  50.507439, longitude: 5.092791
Cluster: 117, latitude:  50.320255, longitude: 5.724823
Cluster: 118, latitude:  50.710697, longitude: 4.383502
Cluster: 119, latitude:  50.510525, longitude: 4.150703
Cluster: 120, latitude:  51.076786, longitude: 4.178895
Cluster: 121, latitude:  51.073177, longitude: 3.720772
Cluster: 122, latitude:  50.405472, longitude: 3.694319
Cluster: 123, latitude:  50.831741, longitude: 4.266379
Cluster: 124, latitude:  50.618622, longitude: 5.662344
Cluster: 125, latitude:  50.523525, longitude: 5.672536
Cluster: 126, latitude:  50.575592, longitude: 5.626527
Cluster: 127, latitude:  50.995083, longitude: 4.810351
Cluster: 128, latitude:  50.920574, longitude: 3.141584
Cluster: 129, latitude:  51.086376, longitude: 5.596157
Cluster: 130, latitude:  50.850895, longitude: 5.536525
Cluster: 131, latitude:  50.631153, longitude: 5.549640
Cluster: 132, latitude:  51.282936, longitude: 4.438105
Cluster: 133, latitude:  50.632450, longitude: 5.610330
Cluster: 134, latitude:  50.236282, longitude: 4.854125
Cluster: 135, latitude:  51.133835, longitude: 2.993066
Cluster: 136, latitude:  50.793350, longitude: 2.845514
Cluster: 137, latitude:  50.427212, longitude: 4.403987
Cluster: 138, latitude:  50.824631, longitude: 4.675406
Cluster: 139, latitude:  51.049084, longitude: 3.754044
Cluster: 140, latitude:  50.458939, longitude: 3.910419
Cluster: 141, latitude:  50.319416, longitude: 4.523395
Cluster: 142, latitude:  51.041462, longitude: 4.574712
Cluster: 143, latitude:  50.423321, longitude: 4.557737
Cluster: 144, latitude:  51.225132, longitude: 2.932953
Cluster: 145, latitude:  50.615219, longitude: 5.716803
Cluster: 146, latitude:  51.179955, longitude: 4.466580
Cluster: 147, latitude:  50.353523, longitude: 6.087410
Cluster: 148, latitude:  51.290531, longitude: 3.148824
Cluster: 149, latitude:  50.850018, longitude: 4.106956
Cluster: 150, latitude:  50.950726, longitude: 4.350726
Cluster: 151, latitude:  51.120953, longitude: 2.699459
Cluster: 152, latitude:  50.909756, longitude: 5.375401
Cluster: 153, latitude:  51.180351, longitude: 5.200809
Cluster: 154, latitude:  51.036156, longitude: 5.722228
Cluster: 155, latitude:  51.204708, longitude: 4.435142
Cluster: 156, latitude:  50.417038, longitude: 4.454634
Cluster: 157, latitude:  50.881813, longitude: 4.392259
Cluster: 158, latitude:  50.629475, longitude: 5.487968
Cluster: 159, latitude:  50.962231, longitude: 3.628949
Cluster: 160, latitude:  50.567429, longitude: 5.407273
Cluster: 161, latitude:  50.834843, longitude: 4.527201
Cluster: 162, latitude:  51.106934, longitude: 3.950964
Cluster: 163, latitude:  51.365143, longitude: 4.420523
Cluster: 164, latitude:  50.419323, longitude: 3.859862
Cluster: 165, latitude:  51.095173, longitude: 5.368717
Cluster: 166, latitude:  49.812565, longitude: 5.721335
Cluster: 167, latitude:  50.877682, longitude: 4.464669
Cluster: 168, latitude:  51.114819, longitude: 4.455789
Cluster: 169, latitude:  50.840263, longitude: 2.949628
Cluster: 170, latitude:  50.661098, longitude: 6.008036
Cluster: 171, latitude:  51.239029, longitude: 5.131902
Cluster: 172, latitude:  50.851414, longitude: 4.426758
Cluster: 173, latitude:  50.693481, longitude: 4.571930
Cluster: 174, latitude:  51.095242, longitude: 3.155865
Cluster: 175, latitude:  51.239708, longitude: 4.462539
Cluster: 176, latitude:  50.672115, longitude: 5.622085
Cluster: 177, latitude:  51.066601, longitude: 2.890342
Cluster: 178, latitude:  50.987392, longitude: 4.647967
Cluster: 179, latitude:  51.336334, longitude: 3.274710
Cluster: 180, latitude:  50.402740, longitude: 4.296914
Cluster: 181, latitude:  49.599674, longitude: 5.629921
Cluster: 182, latitude:  51.232727, longitude: 4.438409
Cluster: 183, latitude:  49.618404, longitude: 5.819357
Cluster: 184, latitude:  51.062439, longitude: 4.797325
Cluster: 185, latitude:  51.217365, longitude: 5.340560
Cluster: 186, latitude:  50.716805, longitude: 4.223734
Cluster: 187, latitude:  51.071861, longitude: 5.144825
Cluster: 188, latitude:  50.983818, longitude: 5.032861
Cluster: 189, latitude:  51.136631, longitude: 4.996831
Cluster: 190, latitude:  51.084644, longitude: 3.782275
Cluster: 191, latitude:  50.949261, longitude: 3.287361
Cluster: 192, latitude:  50.803238, longitude: 3.210879
Cluster: 193, latitude:  50.782280, longitude: 4.310297
Cluster: 194, latitude:  49.800362, longitude: 5.263940
Cluster: 195, latitude:  51.239994, longitude: 4.596252
Cluster: 196, latitude:  50.442085, longitude: 4.495311
Cluster: 197, latitude:  50.934875, longitude: 4.748922
Cluster: 198, latitude:  51.329700, longitude: 5.066209
Cluster: 199, latitude:  50.623711, longitude: 4.036866
----------------------------
