38.32215;-2.89127
40.99914;-6.67130
40.41078;-3.90374
39.67813;-3.97651
42.17404;-8.27191
40.62795;-4.95220
39.22319;-0.52833
40.15631;-0.39025
41.60051;-1.27866
36.78713;-4.84524
41.51184;-0.62922
41.81666;-2.71247
41.62856;1.86548
40.07079;-0.48263
43.28145;-8.42746
39.74834;-0.99620
37.41887;-6.15628
41.06728;0.97770
37.52644;-4.16437
40.69443;-1.34769
39.40269;-0.40042
42.31568;2.10701
36.60536;-5.26906
38.08134;-1.66026
37.29569;-3.12767
41.28967;-2.26831
42.00160;-6.15953
42.38624;-8.38497
43.36292;-5.17061
36.72126;-4.19847
41.42323;0.85852
42.46635;-2.91065
41.16793;1.27884
42.36657;-7.86220
41.75572;-5.99204
42.44263;-8.54324
38.66839;0.09064
42.29304;-7.99118
43.25779;-7.39727
42.00907;-5.68350
40.31522;-3.76223
41.37614;2.14005
43.51234;-6.00407
140.66736;-3.20198
37.19209;-5.77507
38.49028;-0.80188
40.13938;-6.42612
40.11217;-5.77719
39.17182;-0.25910
42.84743;-8.30912
43.40220;-5.80853
36.56331;-4.85537
42.84022;-8.95613
42.00999;-3.85071
42.43826;-2.71000
42.54298;-6.77312
37.50314;-7.27042
42.49217;-6.12015
36.78716;-5.55485
41.58706;0.26150
43.27951;-8.36626
37.12054;-5.45233
36.85110;-2.35529
42.06520;2.24688
37.90526;-0.84097
42.18655;-7.17758
42.39938;-2.46684
40.18448;-2.76881
42.43122;-8.07155
41.34675;1.70693
38.43526;-0.83827
39.86185;-4.05447
36.75054;-3.51626
42.35209;-5.75189
41.32068;0.87941
40.40037;-3.99630
40.07606;-3.44461
41.69982;-4.73887
43.40190;-8.15282
37.63044;-0.72618
40.05229;-3.99281
39.96372;-0.26011
36.73412;-4.12892
37.89594;-4.38590
40.37612;-3.66343
43.42437;-5.69557
37.98138;-3.80979
42.18388;-8.78841
40.62512;-4.83937
41.73284;-2.72037
38.45317;-0.76872
40.62296;-3.59137
39.70508;-5.19481
41.72677;2.81825
41.49823;1.81516
38.14499;-2.30350
37.97788;-0.78898
43.37224;-6.07313
36.59615;-6.25232
37.02529;-3.62454
